"term","existing_wikipedia_en","verified_wikipedia_en","verified_wikipedia_he","hebrew_title_from_langlink","resolved_title","verification_status","notes"
"Aaron","https://en.wikipedia.org/wiki/Aaron","https://en.wikipedia.org/wiki/Aaron","","","Aaron","verified_exact_or_redirect",""
"Aaron and his sons","","","","","","no_exact_page",""
"Aaron the priest","","https://en.wikipedia.org/wiki/Aaron","","","Aaron","verified_exact_or_redirect",""
"Abel","","https://en.wikipedia.org/wiki/Abel","https://he.wikipedia.org/wiki/%D7%94%D7%91%D7%9C","הבל","Abel","verified_exact_or_redirect",""
"Abiathar","","https://en.wikipedia.org/wiki/Abiathar","","","Abiathar","verified_exact_or_redirect",""
"Abigail","https://en.wikipedia.org/wiki/Abigail","https://en.wikipedia.org/wiki/Abigail","","","Abigail","verified_exact_or_redirect",""
"Abijah, son of Jeroboam","","","","","","no_exact_page",""
"Abimelech","https://en.wikipedia.org/wiki/Abimelech_(Judges)","https://en.wikipedia.org/wiki/Abimelech","","","Abimelech","verified_exact_or_redirect",""
"Abiram","https://en.wikipedia.org/wiki/Abiram","https://en.wikipedia.org/wiki/Abiram","","","Abiram","verified_exact_or_redirect",""
"Abishag","https://en.wikipedia.org/wiki/Abishag","https://en.wikipedia.org/wiki/Abishag","","","Abishag","verified_exact_or_redirect",""
"Abishai","","https://en.wikipedia.org/wiki/Abishai","","","Abishai","disambiguation_only","resolved to disambiguation page"
"Abishai ben Zeruiah","https://en.wikipedia.org/wiki/Abishai_(biblical_figure)","","","","","no_exact_page",""
"Abishai, son of Zeruiah","","","","","","no_exact_page",""
"Abner","https://en.wikipedia.org/wiki/Abner","https://en.wikipedia.org/wiki/Abner","","","Abner","verified_exact_or_redirect",""
"Abner ben Ner","","","","","","no_exact_page",""
"Abraham","https://en.wikipedia.org/wiki/Abraham","https://en.wikipedia.org/wiki/Abraham","","","Abraham","verified_exact_or_redirect",""
"Abraham, Isaac, and Jacob","","","","","","no_exact_page",""
"Absalom","https://en.wikipedia.org/wiki/Absalom","https://en.wikipedia.org/wiki/Absalom","","","Absalom","verified_exact_or_redirect",""
"Achan","https://en.wikipedia.org/wiki/Achan_(biblical_figure)","https://en.wikipedia.org/wiki/Achan","","","Achan","disambiguation_only","resolved to disambiguation page"
"Achsah","https://en.wikipedia.org/wiki/Achsah","https://en.wikipedia.org/wiki/Achsah","","","Achsah","verified_exact_or_redirect",""
"Adam","https://en.wikipedia.org/wiki/Adam","https://en.wikipedia.org/wiki/Adam","","","Adam","verified_exact_or_redirect",""
"Adam and Eve","https://en.wikipedia.org/wiki/Adam_and_Eve#Expulsion_from_Eden","https://en.wikipedia.org/wiki/Adam_and_Eve","","","Adam and Eve","verified_exact_or_redirect",""
"Adam the first","","","","","","no_exact_page",""
"Adam the first man","","","","","","no_exact_page",""
"Adam, the first","","","","","","no_exact_page",""
"Adin","","https://en.wikipedia.org/wiki/Adin","","","Adin","verified_exact_or_redirect",""
"Adonijah","https://en.wikipedia.org/wiki/Adonijah","https://en.wikipedia.org/wiki/Adonijah","","","Adonijah","verified_exact_or_redirect",""
"Adrammelech","","https://en.wikipedia.org/wiki/Adrammelech","","","Adrammelech","verified_exact_or_redirect",""
"Adriel","","https://en.wikipedia.org/wiki/Adriel","","","Adriel","verified_exact_or_redirect",""
"Agag","https://en.wikipedia.org/wiki/Agag","https://en.wikipedia.org/wiki/Agag","","","Agag","verified_exact_or_redirect",""
"Ahab","https://en.wikipedia.org/wiki/Ahab","https://en.wikipedia.org/wiki/Ahab","https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%90%D7%91","אחאב","Ahab","verified_exact_or_redirect",""
"Ahab ben Omri","","","","","","no_exact_page",""
"Ahab, son of Omri","","","","","","no_exact_page",""
"Ahasuerus","https://en.wikipedia.org/wiki/Ahasuerus#Book_of_Esther","https://en.wikipedia.org/wiki/Ahasuerus","","","Ahasuerus","verified_exact_or_redirect",""
"Ahaz","https://en.wikipedia.org/wiki/Ahaz","https://en.wikipedia.org/wiki/Ahaz","","","Ahaz","verified_exact_or_redirect",""
"Ahaziah","","https://en.wikipedia.org/wiki/Ahaziah","","","Ahaziah","verified_exact_or_redirect",""
