"term","categories","category_count","wikipedia_en","wikipedia_he","selected_anchor_text","hebrew_term","chavrutai_search_url","wiki_match_source","variant_names"
"4th-year","concepts","1","","","","","https://chavrutai.com/search?q=4th-year","",""
"A certain apostate","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20apostate","",""
"a certain Arab","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20Arab","",""
"a certain army","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20army","",""
"a certain blind man","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20blind%20man","",""
"a certain butcher","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20butcher","",""
"a certain child","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20child","",""
"a certain demon","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20demon","",""
"a certain disciple","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20disciple","",""
"a certain disciple from among the disciples of Beit Hillel","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20disciple%20from%20among%20the%20disciples%20of%20Beit%20Hillel","",""
"A certain disciple from among the disciples of Beit Shammai","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20disciple%20from%20among%20the%20disciples%20of%20Beit%20Shammai","",""
"a certain doctor","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20doctor","",""
"A certain elder","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20elder","",""
"A certain Elder of the disciples of Shammai the Elder","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20Elder%20of%20the%20disciples%20of%20Shammai%20the%20Elder","",""
"a certain elderly man","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20elderly%20man","",""
"a certain elderly slave","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20elderly%20slave","",""
"A certain elderly woman","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20elderly%20woman","",""
"a certain emperor","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20emperor","",""
"a certain eulogizer","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20eulogizer","",""
"A certain eunuch","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20eunuch","",""
"a certain family in Jerusalem","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20family%20in%20Jerusalem","",""
"a certain female convert","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20female%20convert","",""
"a certain female owner of a wine shop","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20female%20owner%20of%20a%20wine%20shop","",""
"A certain Galilean","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20Galilean","",""
"a certain gentile","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20gentile","",""
"a certain gentile woman","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20gentile%20woman","",""
"a certain girl","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20girl","",""
"a certain guarantor","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20guarantor","",""
"a certain herdsman","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20herdsman","",""
"a certain heretic","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20heretic","",""
"A certain heretic named Sason","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20heretic%20named%20Sason","",""
"a certain High Priest","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20High%20Priest","",""
"a certain imbecile","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20imbecile","",""
"a certain individual","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20individual","",""
"a certain Jew","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20Jew","",""
"a certain judge","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20judge","",""
"a certain launderer","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20launderer","",""
"a certain Madonite","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20Madonite","",""
"A certain magus","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20magus","",""
"a certain maiden","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20maiden","",""
"a certain maidservant","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20maidservant","",""
"a certain man","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20man","",""
"A certain matron","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20matron","",""
"A certain noblewoman","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20noblewoman","",""
"a certain of Meron","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20of%20Meron","",""
"a certain official","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20official","",""
"a certain old man","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20old%20man","",""
"a certain old woman","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20old%20woman","",""
"a certain one of the Sages","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20one%20of%20the%20Sages","",""
"a certain orphan","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20orphan","",""
"a certain Persian priest","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20Persian%20priest","",""
"a certain person","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20person","",""
"A certain philosopher","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20philosopher","",""
"a certain pious","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20pious","",""
"a certain pious man","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20pious%20man","",""
"a certain place","talmudToponyms","1","","","","","https://chavrutai.com/search?q=a%20certain%20place","",""
"a certain poor person","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20poor%20person","",""
"A certain pregnant woman","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20pregnant%20woman","",""
"a certain priest","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20priest","",""
"a certain priest’s daughter","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20priest%E2%80%99s%20daughter","",""
"a certain prostitute","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20prostitute","",""
"A certain Roman","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20Roman","",""
"A certain Roman officer","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20Roman%20officer","",""
"a certain Sadducee","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20Sadducee","",""
"A certain Sage","names","1","","","","","https://chavrutai.com/search?q=A%20certain%20Sage","",""
"a certain student","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20student","",""
"a certain tanner","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20tanner","",""
"a certain teacher of children","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20teacher%20of%20children","",""
"a certain widow","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20widow","",""
"a certain woman","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20woman","",""
"a certain young woman","names","1","","","","","https://chavrutai.com/search?q=a%20certain%20young%20woman","",""
"a deaf-mute, an imbecile, and a minor","concepts","1","","","","","https://chavrutai.com/search?q=a%20deaf-mute%2C%20an%20imbecile%2C%20and%20a%20minor","",""
"A Galilean","names","1","","","","","https://chavrutai.com/search?q=A%20Galilean","",""
"a king and queen","names","1","","","","","https://chavrutai.com/search?q=a%20king%20and%20queen","",""
"a leading authority of generation","names","1","","","","","https://chavrutai.com/search?q=a%20leading%20authority%20of%20generation","",""
"a maidservant of Rabbi","names","1","","","","","https://chavrutai.com/search?q=a%20maidservant%20of%20Rabbi","",""
"a maidservant of the household of Rabbi","names","1","","","","","https://chavrutai.com/search?q=a%20maidservant%20of%20the%20household%20of%20Rabbi","",""
"a menstruating woman","concepts","1","","","","","https://chavrutai.com/search?q=a%20menstruating%20woman","",""
"a passerby from the Galilee","names","1","","","","","https://chavrutai.com/search?q=a%20passerby%20from%20the%20Galilee","",""
"a pious man","names","1","","","","","https://chavrutai.com/search?q=a%20pious%20man","",""
