"term","categories","variant_names","wikipedia_en","wikipedia_he","selected_anchor_text","hebrew_term","chavrutai_search_url","wiki_match_source"
"4th-year","concepts","","","","","","https://chavrutai.com/search?q=4th-year",""
"A certain apostate","names","","","","","","https://chavrutai.com/search?q=A%20certain%20apostate",""
"a certain Arab","names","","","","","","https://chavrutai.com/search?q=a%20certain%20Arab",""
"a certain army","names","","","","","","https://chavrutai.com/search?q=a%20certain%20army",""
"a certain blind man","names","","","","","","https://chavrutai.com/search?q=a%20certain%20blind%20man",""
"a certain butcher","names","","","","","","https://chavrutai.com/search?q=a%20certain%20butcher",""
"a certain child","names","","","","","","https://chavrutai.com/search?q=a%20certain%20child",""
"a certain demon","names","","","","","","https://chavrutai.com/search?q=a%20certain%20demon",""
"a certain disciple","names","","","","","","https://chavrutai.com/search?q=a%20certain%20disciple",""
"a certain disciple from among the disciples of Beit Hillel","names","","","","","","https://chavrutai.com/search?q=a%20certain%20disciple%20from%20among%20the%20disciples%20of%20Beit%20Hillel",""
"A certain disciple from among the disciples of Beit Shammai","names","","","","","","https://chavrutai.com/search?q=A%20certain%20disciple%20from%20among%20the%20disciples%20of%20Beit%20Shammai",""
"a certain doctor","names","","","","","","https://chavrutai.com/search?q=a%20certain%20doctor",""
"A certain elder","names","","","","","","https://chavrutai.com/search?q=A%20certain%20elder",""
"A certain Elder of the disciples of Shammai the Elder","names","","","","","","https://chavrutai.com/search?q=A%20certain%20Elder%20of%20the%20disciples%20of%20Shammai%20the%20Elder",""
"a certain elderly man","names","","","","","","https://chavrutai.com/search?q=a%20certain%20elderly%20man",""
"a certain elderly slave","names","","","","","","https://chavrutai.com/search?q=a%20certain%20elderly%20slave",""
"A certain elderly woman","names","","","","","","https://chavrutai.com/search?q=A%20certain%20elderly%20woman",""
"a certain emperor","names","","","","","","https://chavrutai.com/search?q=a%20certain%20emperor",""
"a certain eulogizer","names","","","","","","https://chavrutai.com/search?q=a%20certain%20eulogizer",""
"A certain eunuch","names","","","","","","https://chavrutai.com/search?q=A%20certain%20eunuch",""
