wikidata_id,wikipedia_en_name_from_pdf,wikipedia_he_name_from_pdf,pdf_page
Q100166621,Rav Itzhak Bar Ashian,רב יצחק בר אשיאן,1
Q100272549,,רב עינא )אמורא(,1
Q100272582,,רב שמעיה בר זעירא,1
Q100276838,,רבי שמעון בר כרסנא,1
Q100320756,,ר' טבלא,1
Q100329131,,ר' חנינא בן פזי,1
Q100347530,,ר' חנינא תורתייא,1
Q100409642,,רבי חייא בר גמדא,1
Q100559223,,אשיין בר נדבך )נידבה(,1
Q100605766,,רבי יוסי בן שאול,1
Q100876974,,רבי יוסי בן פטרוס,1
Q100998890,,רב חנא בגדתאה,1
Q101061529,Hama bar Hanina,רב חמא בר חנינא )הראשון(,1
Q101067832,,רבי חמא בר עוקבא,1
Q101523240,,רבי פדת,1
Q103982899,,יוחנן בן ברוקה,1
Q104029606,,רב חביבי מחוזנאה,1
Q104054899,,רב גמדא,1
Q104399845,Rabbi Abin Naggara,ר' אבין נגרא,1
Q105152781,,רבי יהודה בן קנוסא,1
Q105626448,,חסידא,1
Q1061616,Haninah,חנניה בן אחי רבי יהושע,1
Q1062209,Hanina bar Hama,רבי חנינא בר חמא,1
Q106226060,,ר' אחי בר' יאשיה,1
Q106322405,,רבי יוסי בן כיפר,1
Q106363077,,רבי מנחם,1
Q106368055,,רבי ינאי )תנא(,1
Q106626153,,רב אחא בר עויא,1
Q1069053,Helbo,רבי חלבו,1
Q1072589,Hiyya bar Abba,רבי חייא בר אבא,1
Q107345891,Ifra Hormizd,מלכא,1
Q108207671,,רבי חנינא בן רבי יוסי הגלילי,1
Q108528867,,אבימי,1
Q108528868,,רב שמואל בר שילת,1
Q108799188,,תודוס הרופא,1
Q108799469,,קמחית,1
Q109334855,,רב חגא,1
Q10971640,Idi b. Abin Naggara,רב אידי בר אבין )נגרא( א(,1
Q110147967,,רבי יהודה בר שלום,1
Q11041243,Judah b. Meremar,יהודה בר מרימר,1
Q110567722,,ר' אלעזר בן מתיא,1
Q111273415,,פלימו,1
Q111518579,,שילת,1
Q112162729,,רמי בר תמרי,1
Q112229365,,רבי חמא בר ביסא,1
Q112415951,,ישמעאל,1
Q113371873,,לפעמים רבינא(,1
Q115470384,,ביתוס )או בייתוס( בן זונין,1
Q115562388,,זכריה בן קבוטל,1
Q115786078,,חנן הנחבא,1
Q116069944,,אבא,1
Q11682814,Yeshu,ישו )יהדות(,1
Q11728180,Jonathan ben Ananus,יונתן בן חנן,1
Q117561095,,יהודה בר מרימר )הראשון(,1
Q117745354,,מר שמואל מר,1
Q11830843,Poblicius Marcellus,גאיוס פובליקיוס מארקלוס,1
Q11979099,Joiakim,יהויקים בן יהושע,1
Q120754352,,רבי יוסף הכהן )תנא(,1
Q120861203,,רב אחא בריה דרב אויא,1
Q120870538,,רב חנא בר חנילאי,1
Q121076392,,רבי יהושע בן כפוסאי,1
Q121708937,,רבי יוסי גלילאה,1
Q121840131,,שמעון אחי עזריה,1
Q122234149,Ben Katin,בן קטין,1
Q122833420,,יוחאי,1
Q122883455,,רבי פרנך,1
Q12403280,Abba Sakkara,אבא סיקרא,1
Q12406550,Titus Haterius Nepos,הטריוס נפוס,1
Q12407250,Zeiri,זעירי ב(,1
Q12407964,Jose bar Hanina,רבי יוסי בר חנינא,1
Q12408334,Yeshua ben Galgula,ישוע בן גלגולא,1
Q12409537,Maremar,מרימר,1
Q12409848,Niger the Peraean,ניגר איש עבר הירדן,1
Q12411197,,רב אחא בר יוסף,1
Q12411198,,רב הונא ב(,1
Q12411201,,רב חננאל,1
Q12411202,Hanina of Sepphoris,רב חנניה,1
Q12411205,Rav Amram,רב עמרם,1
Q12411206,,ר' אחא בר חנינא,1
Q12411207,Yose HaKohen,רבי יוסי הכהן,1
Q12411208,,ר' בנימין בר יפת,1
Q12411210,Jeremiah,רבי ירמיה )הראשון(,1
Q1242706,Levi II,רבי לוי,1
Q1243557,Alexander the Alabarch,אלכסנדר האלבארכס,1
Q1251063,Dostai ben Jannai,ר' דוסתאי בר' ינאי,1
Q1253140,Simlai,רבי שמלאי,1
Q1255590,Ulla,עולא,1
Q1268142,Tarfon,ר' טרפון )הכהן(,1
Q1302455,Rabbi Mana II,רבי מנא,1
Q1304973,Rava,רבא )סתם(,1
Q131833,Dosa ben Harkinas,ר' דוסא )סתם(,1
Q13217352,Abba bar Zemina,או זמינה או זימונא,1
Q1325773,Eleazar ben Pedat,ר' אלעזר בן פדת,1
Q1325787,Eleazar ben Azariah,ר' אלעזר בן עזריה,1
Q1325789,Eleazar ben Arach,ר' אלעזר בן ערך,1
Q1329293,Eliezer ben Jacob II,רבי אליעזר בן יעקב )השני(,1
Q1329310,Eliezer ben Hurcanus,ר' אליעזר בן הורקנוס,1
Q134461,Josephus,יוסף בן מתתיהו,1
Q1370654,Aristobulus Minor,אריסטובולוס הצעיר,1
Q1385977,Ezekiel the Tragedian,יחזקאל הטרגיקן,1
Q1391057,Rav Chisda,רב חסדא,1
Q1391069,Rabbi Ishmael,רבי ישמעאל,1
Q1391489,Shimon ben Lakish,ריש לקיש,1
Q1391585,Judah bar Ilai,רבי יהודה,1
Q1394943,Rabbi Aha,רב אחא )אמורא(,1
Q1397565,Johanan bar Nappaha,ר' יוחנן,1
Q1400104,Jonathan ben Uzziel,יונתן בן עוזיאל,1
Q1400124,Nathan the Babylonian,רבי נתן,1
Q1400135,Simeon ben Gamliel II,רבן שמעון בן גמליאל,1
Q140095,Rabbi Zadok,רבי צדוק,1
Q1410699,Adda bar Ahavah,רב אדא בר אהבה,1
Q1427,Hadrian,אדריאנוס,1
